kommunId;kommun;totalBefolkning;forskningUtbildning;eftergymnasial3Plus;eftergymnasialMindre3;gymnasial3Ar;gymnasialHogst2Ar;grundskola;forgymnasial;kommunNormalized
560;Boxholm;2739;0.17;0.14;0.31;0.24;0.10;0.02;0.02;boxholm
561;Åtvidaberg;5562;0.19;0.14;0.31;0.23;0.09;0.01;0.01;atvidaberg
562;Finspång;10739;0.19;0.14;0.31;0.22;0.09;0.03;0.02;finspang
563;Valdemarsvik;3469;0.15;0.12;0.30;0.28;0.11;0.02;0.02;valdemarsvik
580;Linköping;86200;0.40;0.17;0.19;0.13;0.05;0.03;0.02;linkoping
581;Norrköping;75303;0.27;0.17;0.25;0.18;0.08;0.03;0.02;norrkoping
582;Söderköping;7076;0.23;0.16;0.29;0.20;0.08;0.01;0.01;soderkoping
583;Motala;21408;0.19;0.15;0.28;0.23;0.10;0.03;0.02;motala
584;Vadstena;3428;0.23;0.17;0.27;0.21;0.09;0.01;0.02;vadstena
586;Mjölby;14544;0.21;0.16;0.29;0.22;0.08;0.02;0.02;mjolby
604;Aneby;3321;0.20;0.15;0.32;0.20;0.09;0.02;0.02;aneby
617;Gnosjö;4623;0.14;0.12;0.28;0.24;0.13;0.06;0.03;gnosjo
642;Mullsjö;3650;0.21;0.15;0.32;0.19;0.09;0.02;0.03;mullsjo
643;Håbo;6530;0.31;0.16;0.29;0.16;0.07;0.01;0.01;habo
662;Gislaved;14596;0.15;0.13;0.29;0.24;0.13;0.04;0.03;gislaved
665;Vaggeryd;7517;0.20;0.15;0.28;0.22;0.09;0.03;0.03;vaggeryd
680;Jönköping;76099;0.31;0.18;0.24;0.16;0.06;0.03;0.02;jonkoping
682;Nässjö;15671;0.18;0.16;0.28;0.22;0.09;0.04;0.03;nassjo
683;Värnamo;17435;0.21;0.15;0.28;0.21;0.09;0.03;0.02;varnamo
684;Sävsjö;5439;0.17;0.14;0.27;0.23;0.12;0.03;0.03;savsjo
685;Vetlanda;13244;0.17;0.15;0.32;0.20;0.10;0.03;0.02;vetlanda
686;Eksjö;8462;0.24;0.15;0.28;0.20;0.08;0.03;0.02;eksjo
687;Tranås;8977;0.19;0.15;0.31;0.21;0.08;0.03;0.02;tranas
